  427  32.3285 34.1940     278     0    16   262  
  428  30.5359 34.9045     260    18    29   231  
  429  30.7258 35.0510     411   151    68   343  
  430  30.5870 34.7808     264   147    29   235  
  431  31.6350 34.8090     447   183    35   412  
  432  32.0530 33.4041     334   113    45   289  
  433  30.2623 32.5096     358    24    19   339  
  434  32.9715 32.9403     182   176    46   136  
  435  32.3172 35.6271     302   120    14   288  
  436  34.4366 34.5255     259    43   120   139  
  437  32.1778 35.4523     153   106    91    62  
  438  31.8355 34.1221     401   248    88   313  
  439  32.0111 33.9186     374    27    35   339  
  440  33.2227 33.9999     224   150    37   187  
  441  31.8655 34.4998     239    15    58   181  
  442  33.7650 33.9755     278    39    56   222  
  443  32.7249 33.7350     444   166    91   353  
  444  33.9202 34.2110     387    57    71   316  
  445  32.2024 34.4848     242   145    13   229  
  446  35.4724 32.8776     473   231    82   391  
  447  33.8616 34.9465     306   167    48   258  
  448  32.8833 33.8333     395    89    50   345  
  449  33.9964 34.4633     356    39   107   249  
  450  33.5587 33.0835     215   141    36   179  
  451  32.8706 35.1039     377   162    74   303  
  452  35.2062 33.9201     138   239    39    99  
  453  33.9929 33.4792     507   369    22   485  
  454  31.5871 33.8799     329   178    39   290  
  455  33.2490 34.9947     395    66    46   349  
  456  33.3805 35.3467     396     1     6   390  
  457  32.6256 35.1401     373    23    38   335  
  458  33.1373 35.1139     320    53    35   285  
  459  32.8428 35.2011     265    55    62   203  
  460  33.1016 34.5599     371   106    56   315  
  461  32.4326 34.3568     195   176    73   122  
  462  30.6642 34.9357     325   130    41   284  
  463  33.1413 34.7566     401    76    33   368  
  464  33.2088 34.3423     522   121    87   435  
  465  35.0785 34.5573     476    46    44   432  
  466  35.0365 34.5380     394    82    14   380  
  467  33.5310 34.1521     366    28    35   331  
  468  33.6892 33.9074     266   100    88   178  
  469  35.3146 35.3384     458   192    36   422  
  470  33.4818 33.3305     306   152    94   212  
  471  33.0016 33.3251     489   183    74   415  
  472  33.4580 32.3250     256   233    22   234  
  473  33.6105 33.8647     196    60    48   148  
  474  33.8076 35.2645     421   225   140   281  
  475  34.9864 33.3397     271   150    25   246  
  476  35.2836 34.6927     339    68    98   241  
  477  31.9655 31.3472     554   215   125   429  
  478  33.3519 34.6235     285   269    67   218  
  479  33.6968 32.0887     201    84    37   164  
  480  34.6928 33.0802     314   113    34   280  
  481  32.3065 33.5284     400    86    93   307  
  482  34.1076 35.1893     348    52    39   309  
  483  32.9391 34.8291     551   203    31   520  
  484  34.7635 34.7130     223   328    50   173  
  485  31.8874 35.6588     507   284    91   416  
  486  34.6304 35.5000     357   150    50   307  
  487  33.1347 31.9748     292    65    32   260  
  488  34.1200 34.2440     312    20    63   249  
  489  32.9388 34.4175     345    33    25   320  
  490  33.8620 35.5550     408    63    51   357  
  491  33.5557 34.4294     361    47    23   338  
  492  32.2504 33.5562     341    20    29   312  
  493  33.0884 34.3785     438    97    51   387  
  494  34.9992 33.2707     287   151    42   245  
  495  35.4177 33.3011     138   149    65    73  
  496  32.3451 33.5379     375   237    28   347  
  497  30.6277 32.7744     244   131    61   183  
  498  34.0674 31.9995     227    17    64   163  
  499  31.9301 35.1043     436   209    46   390  
  500  33.0324 34.4199     496    60    63   433  
  501  31.8971 33.4416     332   164    70   262  
  502  32.8836 31.5710     258    74    19   239  
  503  32.8182 34.5378     588   330    40   548  
  504  31.5770 35.6925     523    65    36   487  
  505  32.1010 34.8935     484    39    40   444  
  506  32.7292 34.4926     383   101    82   301  
  507  32.9852 33.7774     487   104    37   450  
  508  29.8288 36.6118     229   258    15   214  
  509  33.0281 34.8493     291    62    43   248  
  510  32.3286 34.8434     315    24    52   263  
  511  33.0399 34.6126     283    32    89   194  
  512  31.2695 35.9332     626   343    48   578  
  513  31.2349 34.6076     494   132    73   421  
  514  32.8609 35.0269     559    65    59   500  
  515  33.6014 34.6671     433   126    51   382  
  516  32.4474 34.0476     529    96    52   477  
  517  31.4286 35.0921     497    32    28   469  
  518  33.5332 32.2548     297   200    86   211  
  519  33.3939 34.3145     340    43    33   307  
  520  31.5389 33.0766     404    64    67   337  
  521  32.6473 35.9908     251   153    46   205  
  522  32.0314 35.6300     327    76    69   258  
